,Baths,Beds,House size,Location,PriceR
1,1.0,3.0,14.0,"Ambalangoda,  Galle",370000.0
2,1.0,2.0,100000.0,"Ambalangoda,  Galle",3500000.0
4,2.0,5.0,300000.0,"Ambalangoda,  Galle",20000000.0
6,4.0,5.0,250000.0,"Ambalangoda,  Galle",12500000.0
7,1.0,5.0,200000.0,"Ambalangoda,  Galle",30000000.0
15,1.0,2.0,200000.0,"Ambalangoda,  Galle",5200000.0
17,2.0,5.0,250000.0,"Ambalangoda,  Galle",16500000.0
18,1.0,2.0,650.0,"Ambalangoda,  Galle",3200000.0
21,3.0,5.0,220000.0,"Ambalangoda,  Galle",20000000.0
24,1.0,2.0,120000.0,"Ambalangoda,  Galle",4000000.0
34,1.0,2.0,100000.0,"Ambalangoda,  Galle",3500000.0
36,2.0,5.0,300000.0,"Ambalangoda,  Galle",20000000.0
38,4.0,5.0,250000.0,"Ambalangoda,  Galle",12500000.0
39,1.0,5.0,200000.0,"Ambalangoda,  Galle",30000000.0
47,1.0,2.0,200000.0,"Ambalangoda,  Galle",5200000.0
49,2.0,5.0,250000.0,"Ambalangoda,  Galle",16500000.0
50,1.0,2.0,650.0,"Ambalangoda,  Galle",3200000.0
53,3.0,5.0,220000.0,"Ambalangoda,  Galle",20000000.0
54,1.0,2.0,160000.0,"Angoda,  Colombo",10500000.0
55,2.0,4.0,170000.0,"Angoda,  Colombo",20000000.0
56,1.0,2.0,800.0,"Angoda,  Colombo",4500000.0
59,2.0,4.0,270000.0,"Angoda,  Colombo",26500000.0
61,2.0,4.0,200000.0,"Angoda,  Colombo",19000000.0
62,2.0,4.0,320000.0,"Angoda,  Colombo",37500000.0
64,2.0,4.0,260000.0,"Angoda,  Colombo",32000000.0
65,1.0,2.0,389300.0,"Angoda,  Colombo",15000000.0
66,2.0,4.0,299000.0,"Angoda,  Colombo",33000000.0
67,1.0,2.0,350.0,"Angoda,  Colombo",4400000.0
68,2.0,2.0,180000.0,"Angoda,  Colombo",12500000.0
69,1.0,2.0,190500.0,"Angoda,  Colombo",13500000.0
70,2.0,4.0,130000.0,"Angoda,  Colombo",13000000.0
71,2.0,2.0,180000.0,"Angoda,  Colombo",12500000.0
73,1.0,2.0,120000.0,"Angoda,  Colombo",20000000.0
75,2.0,2.0,120000.0,"Angoda,  Colombo",11000000.0
77,2.0,4.0,170000.0,"Angoda,  Colombo",20000000.0
80,6.0,10.0,500000.0,"Angoda,  Colombo",42500000.0
81,2.0,2.0,160000.0,"Angoda,  Colombo",14500000.0
82,3.0,4.0,340000.0,"Angoda,  Colombo",47500000.0
87,3.0,4.0,200000.0,"Angoda,  Colombo",28500000.0
88,2.0,2.0,160000.0,"Angoda,  Colombo",14500000.0
89,3.0,4.0,176963.0,"Angoda,  Colombo",18500000.0
91,2.0,2.0,815.0,"Angoda,  Colombo",7800000.0
92,2.0,2.0,130000.0,"Angoda,  Colombo",16750000.0
93,2.0,4.0,270000.0,"Angoda,  Colombo",26500000.0
95,1.0,2.0,100000.0,"Angoda,  Colombo",7500000.0
97,3.0,6.0,265000.0,"Angoda,  Colombo",35000000.0
99,1.0,2.0,800.0,"Angoda,  Colombo",5500000.0
100,2.0,4.0,320000.0,"Angoda,  Colombo",24000000.0
101,1.0,2.0,350.0,"Angoda,  Colombo",4400000.0
102,1.0,2.0,190500.0,"Angoda,  Colombo",13500000.0
103,2.0,7.0,360000.0,"Angoda,  Colombo",40000000.0
104,2.0,4.0,170000.0,"Angoda,  Colombo",20000000.0
105,5.0,5.0,500000.0,"Anuradhapura City,  Anuradhapura",40000000.0
106,4.0,10.0,600000.0,"Anuradhapura City,  Anuradhapura",16000000.0
107,2.0,2.0,145700.0,"Anuradhapura City,  Anuradhapura",11000000.0
110,1.0,2.0,150000.0,"Anuradhapura City,  Anuradhapura",9500000.0
111,5.0,5.0,160000.0,"Anuradhapura City,  Anuradhapura",4500000.0
112,2.0,5.0,200000.0,"Anuradhapura City,  Anuradhapura",12500000.0
113,4.0,6.0,400000.0,"Anuradhapura City,  Anuradhapura",37000000.0
115,1.0,5.0,160000.0,"Anuradhapura City,  Anuradhapura",14000000.0
116,1.0,1.0,130000.0,"Anuradhapura City,  Anuradhapura",9500000.0
119,6.0,6.0,400000.0,"Anuradhapura City,  Anuradhapura",30000000.0
121,1.0,3.0,100000.0,"Anuradhapura City,  Anuradhapura",9500000.0
123,5.0,5.0,500000.0,"Anuradhapura City,  Anuradhapura",40000000.0
124,4.0,10.0,600000.0,"Anuradhapura City,  Anuradhapura",16000000.0
125,2.0,2.0,145700.0,"Anuradhapura City,  Anuradhapura",11000000.0
127,3.0,3.0,148000.0,"Athurugiriya,  Colombo",16800000.0
129,3.0,3.0,220000.0,"Athurugiriya,  Colombo",25000000.0
131,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
133,3.0,3.0,130000.0,"Athurugiriya,  Colombo",15400000.0
134,4.0,5.0,285000.0,"Athurugiriya,  Colombo",29500000.0
135,3.0,3.0,140000.0,"Athurugiriya,  Colombo",15000000.0
136,3.0,3.0,140000.0,"Athurugiriya,  Colombo",18000000.0
137,3.0,3.0,140000.0,"Athurugiriya,  Colombo",18000000.0
138,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
139,3.0,3.0,100000.0,"Athurugiriya,  Colombo",15000000.0
140,2.0,4.0,320000.0,"Athurugiriya,  Colombo",37500000.0
142,4.0,4.0,300000.0,"Athurugiriya,  Colombo",33000000.0
145,3.0,3.0,190000.0,"Athurugiriya,  Colombo",19800000.0
146,2.0,3.0,130000.0,"Athurugiriya,  Colombo",17000000.0
152,3.0,3.0,140000.0,"Athurugiriya,  Colombo",18000000.0
153,2.0,3.0,110000.0,"Athurugiriya,  Colombo",14500000.0
156,3.0,3.0,140000.0,"Athurugiriya,  Colombo",15000000.0
157,1.0,3.0,120000.0,"Athurugiriya,  Colombo",18500000.0
158,3.0,3.0,140000.0,"Athurugiriya,  Colombo",18000000.0
159,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
160,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
161,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
163,3.0,3.0,140000.0,"Athurugiriya,  Colombo",18000000.0
164,3.0,3.0,175000.0,"Athurugiriya,  Colombo",21000000.0
165,3.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
167,3.0,3.0,140000.0,"Athurugiriya,  Colombo",18000000.0
169,3.0,4.0,275000.0,"Athurugiriya,  Colombo",35000000.0
170,2.0,4.0,200000.0,"Athurugiriya,  Colombo",25000000.0
171,2.0,2.0,140000.0,"Athurugiriya,  Colombo",14800000.0
179,2.0,4.0,280000.0,"Athurugiriya,  Colombo",38000000.0
182,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
184,3.0,3.0,140000.0,"Athurugiriya,  Colombo",15000000.0
186,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
187,3.0,3.0,220000.0,"Athurugiriya,  Colombo",25000000.0
189,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
190,3.0,3.0,200000.0,"Athurugiriya,  Colombo",25000000.0
191,3.0,3.0,140000.0,"Athurugiriya,  Colombo",15000000.0
193,2.0,4.0,210000.0,"Athurugiriya,  Colombo",32000000.0
194,3.0,3.0,190000.0,"Athurugiriya,  Colombo",21500000.0
195,1.0,1.0,190000.0,"Athurugiriya,  Colombo",17000000.0
197,3.0,3.0,140000.0,"Athurugiriya,  Colombo",15000000.0
198,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
201,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
203,3.0,4.0,270000.0,"Athurugiriya,  Colombo",33000000.0
204,2.0,3.0,200900.0,"Athurugiriya,  Colombo",21000000.0
207,1.0,2.0,150000.0,"Athurugiriya,  Colombo",25000000.0
211,3.0,3.0,200000.0,"Athurugiriya,  Colombo",25000000.0
214,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
217,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
219,2.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
222,3.0,5.0,270000.0,"Athurugiriya,  Colombo",27500000.0
225,2.0,4.0,271800.0,"Athurugiriya,  Colombo",36000000.0
227,1.0,3.0,120000.0,"Athurugiriya,  Colombo",15000000.0
228,3.0,3.0,220000.0,"Athurugiriya,  Colombo",25000000.0
231,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
233,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
234,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
235,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
237,3.0,3.0,220000.0,"Athurugiriya,  Colombo",25000000.0
239,3.0,4.0,275000.0,"Athurugiriya,  Colombo",35000000.0
241,2.0,4.0,200000.0,"Athurugiriya,  Colombo",25000000.0
250,4.0,5.0,300000.0,"Athurugiriya,  Colombo",36500000.0
251,3.0,3.0,190000.0,"Athurugiriya,  Colombo",26000000.0
253,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
255,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
257,2.0,2.0,150000.0,"Athurugiriya,  Colombo",18000000.0
260,2.0,4.0,250000.0,"Athurugiriya,  Colombo",30000000.0
261,1.0,1.0,190000.0,"Athurugiriya,  Colombo",17000000.0
263,3.0,3.0,252000.0,"Athurugiriya,  Colombo",38000000.0
264,3.0,3.0,220000.0,"Athurugiriya,  Colombo",25000000.0
266,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
267,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
269,2.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
272,2.0,3.0,145000.0,"Athurugiriya,  Colombo",19000000.0
274,4.0,4.0,267500.0,"Athurugiriya,  Colombo",48000000.0
275,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
277,2.0,3.0,135000.0,"Athurugiriya,  Colombo",14500000.0
278,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
279,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
281,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
284,1.0,1.0,110000.0,"Athurugiriya,  Colombo",8500000.0
289,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
292,3.0,4.0,280000.0,"Athurugiriya,  Colombo",36000000.0
293,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
295,2.0,3.0,135000.0,"Athurugiriya,  Colombo",14500000.0
296,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
297,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
301,3.0,4.0,200000.0,"Athurugiriya,  Colombo",25000000.0
302,3.0,4.0,275000.0,"Athurugiriya,  Colombo",35000000.0
303,2.0,2.0,140000.0,"Athurugiriya,  Colombo",14800000.0
307,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
308,2.0,3.0,180000.0,"Athurugiriya,  Colombo",23500000.0
309,3.0,5.0,270000.0,"Athurugiriya,  Colombo",27500000.0
311,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14000000.0
314,4.0,4.0,240000.0,"Athurugiriya,  Colombo",33500000.0
